x,y,ux
4.607954117569987,0.26286286395043135,0.05
4.614732808102894,0.2874353649094701,0.04999523
4.62150949756666,0.3092408161610365,0.04997002
4.628280459984664,0.32594208884984255,0.04991281
4.635041159423726,0.3357479814440012,0.04982284
4.641787899905613,0.3376051476225257,0.049711917
4.64851933591426,0.33131121657788754,0.04960078
4.655237090892004,0.3175374655984342,0.049511172
4.66194524020849,0.29775869054719806,0.049456708
4.668648662131477,0.27409751061350107,0.049436603
4.675350999700861,0.24909783620387316,0.049435224
4.682053010376013,0.225451382342726,0.049428143
4.688752137676408,0.20570723013952374,0.049392458
4.695443494952382,0.1919962801039219,0.049317
4.702121941450256,0.18580064550042152,0.049207866
4.708784382703653,0.18779296055436134,0.049086474
4.715431215529525,0.19776267744600773,0.04898054
4.722066276413272,0.21463678311556578,0.04891151
4.728695133806223,0.2365928515791893,0.048883904
4.735322417165952,0.2612541364505887,0.04888155
4.741949307017376,0.2859462210908532,0.048872814
4.748572316488694,0.3079873379319906,0.048823293
4.755184044800387,0.32498030737042427,0.04871072
4.761775705953117,0.33507393673062325,0.048535723
4.76834045766682,0.33716510236263275,0.048323404
4.77487618946646,0.3310198122635484,0.04811446
4.781386464102119,0.31730081560090184,0.04794918
4.787879197619798,0.29749886272475123,0.0478508
4.794363498060385,0.2737733721733093,0.047815412
4.800845912131561,0.24871862400323153,0.047813125
4.807327740351807,0.22508047241717577,0.047800444
4.813804541194646,0.20545479748398066,0.0477389
4.820268142745448,0.19200119422748685,0.04761196
4.826710327981708,0.18620416428893805,0.047432687
4.833126580711837,0.18870826496277004,0.047238346
4.839518243474119,0.1992449453100562,0.047073927
4.845892013078479,0.21665848046541214,0.046971373
4.852256872278408,0.23902977537363768,0.046933737
4.858619759525283,0.26388562470674515,0.046931565
4.864981810346432,0.2884712042286992,0.046913777
4.871336950067679,0.31005555484443903,0.046829075
4.877673601957018,0.3262359192594886,0.046648655
4.883978937290772,0.33520628698170185,0.04638042
4.890243959198558,0.33595991507172585,0.046067838
4.896467233933748,0.32840354682412,0.045773346
4.902655603776407,0.3133715575095266,0.045552894
4.908821476590432,0.2925372663885355,0.04543243
4.9149777322732255,0.2682298144791275,0.045396708
4.921132420981244,0.24317562766373158,0.04539567
4.92728552153915,0.22019293811172247,0.04536611
4.933429243188343,0.20187382400035858,0.04525951
4.939551750681269,0.19029025151394308,0.045063645
4.945642720821629,0.1867580357939005,0.044808175
4.951698220952709,0.1916855783201754,0.04455121
4.957722655764727,0.20452412590384483,0.04435247
4.963726794018322,0.22382504492998123,0.04424473
4.969722644775251,0.24739977531135082,0.04421655
4.975717412502036,0.272565642837435,0.044214774
4.981709275678727,0.29645044542849064,0.04416631
4.987687049758167,0.3163207492325455,0.044010367
4.993634095779866,0.32989599113352597,0.043726675
4.999534885164961,0.33561169588938355,0.043346886
5.00538146922214,0.3328014323487878,0.042943373
5.011176928962621,0.3217769172042608,0.04259951
5.016934198104452,0.30379700660705566,0.04237427
5.022670671302879,0.2809282625094056,0.042276748
5.028400868661449,0.2558105969801545,0.04226233
5.0341304106875215,0.23135381005704403,0.04225265
5.039853986563009,0.2104000048711896,0.04217094
5.0455582622236905,0.19539189711213112,0.04197686
5.051228447801078,0.18808603088837117,0.04168478
5.056855484222244,0.18934483476914465,0.041356776
5.062440494662239,0.1990319062024355,0.04107314
5.067994379124662,0.2160229291766882,0.040893435
5.073532532077925,0.23833207227289677,0.040826235
5.079067095811936,0.2633404117077589,0.040821914
5.084600295501463,0.2881016777828336,0.040792875
5.0901220781563,0.3096896465867758,0.04065275
5.0956134049446815,0.3255453137680888,0.040356833
5.10105388622494,0.3337817140854895,0.039925043
5.106430447551283,0.33341035014018416,0.039436035
5.111743079659502,0.3244627034291625,0.03899426
5.117004975665495,0.3079918883740902,0.038684532
5.1222368759274115,0.2859531822614372,0.03853454
5.127458068969507,0.26097572315484285,0.038502764
5.132678132660413,0.2360509461723268,0.03849806
5.137893213530344,0.21417436935007572,0.038422115
5.143088567811279,0.19798391219228506,0.03821541
5.148246187645568,0.1894395314157009,0.03788481
5.153353884422256,0.18958336301147938,0.037499536
5.158411453887595,0.1984096048399806,0.037156936
5.163430903779885,0.21485968586057425,0.036933813
5.168430469150473,0.23694431013427675,0.03684658
5.173425174781721,0.26198018435388803,0.036839712
5.178418456371702,0.28691412368789315,0.03680912
5.183399005409317,0.30869554728269577,0.03665028
5.188344590439924,0.32465102057904005,0.03630873
5.193231320392013,0.3328141141682863,0.035808604
5.198044167836308,0.33217004826292396,0.035244927
5.202783783032048,0.322784923017025,0.034742255
5.207466339523508,0.30580339673906565,0.034398574
5.212116335077596,0.2833138641435653,0.03424069
5.216755633778955,0.2580955345183611,0.03421259
5.221393875147318,0.23327702656388283,0.03420292
5.226024822936296,0.21194800548255444,0.03409876
5.230630357676574,0.1967726480215788,0.033840038
5.235190174868977,0.18965436983853579,0.033447918
5.239692384563007,0.19149423204362392,0.03301309
5.244139740434493,0.20207341015338898,0.032649152
5.248548341914038,0.22007477656006813,0.03243366
5.252939253165953,0.24324191082268953,0.03236599
5.257327139874211,0.2686582379974425,0.032363534
5.261711544122197,0.2931127976626158,0.032299314
5.266075357121683,0.3135065343230963,0.032063503
5.270391517677076,0.3272467665374279,0.03161891
5.274634967867687,0.33257875638082623,0.031022703
5.278794169341805,0.32881204079603776,0.03040266
5.282876572729214,0.31641347939148545,0.029898658
5.286905265762162,0.2969540951307863,0.029597253
5.2909083075238925,0.27291475888341665,0.029491352
5.294905859580072,0.24737317208200693,0.02948513
